PLAYER NAME,TEAM NAME,MATCHES PLAYED,MINUTES PLAYED,GOALS,ASSISTS,SHOTS,CHANCE CREATED,PASSES,SHOTS ON TARGET,TOUCHES,FOULS,FOULS EARNED,YELLOW CARD,RED CARD,AERIAL DUEL WON,COUNTRY,Overall
MANVIR SINGH,MOHUN BAGAN SUPER GIANT,122,6815,19,11,130,101,2028,65,3328,136,59,4,0,184,INDIA,62.0
LISTON COLACO,MOHUN BAGAN SUPER GIANT,87,5371,15,15,156,75,1573,81,3054,202,148,4,1,23,INDIA,61.0
NANDHAKUMAR SEKAR,EAST BENGAL FC,99,7102,15,14,93,82,1876,44,3347,122,66,6,1,33,INDIA,57.0
SUHAIR VADAKKEPEEDIKA,EAST BENGAL FC,64,4333,8,6,78,60,1102,31,1979,193,68,11,0,59,INDIA,58.0
VISHNU PUTHIYA VALAPPILL,EAST BENGAL FC,14,530,1,1,7,4,146,4,295,16,10,1,0,20,INDIA,50.0
IRFAN YADWAD,CHENNAIYIN FC,12,251,0,0,10,3,60,0,117,13,7,4,0,5,INDIA,49.0
RAHIM ALI,CHENNAIYIN FC,66,3708,8,4,61,40,1067,23,1795,137,62,11,0,67,INDIA,58.0
VINCY BARRETTO,CHENNAIYIN FC,48,1927,6,2,44,21,451,17,890,70,47,4,0,20,INDIA,55.0
HALICHARAN NARZARY,BENGALURU FC,114,7334,9,15,102,117,2344,26,3933,156,81,3,0,84,INDIA,59.0
MONIRUL MOLLA,BENGALURU FC,6,123,0,0,5,0,18,1,49,6,1,1,0,2,INDIA,51.0
ROHIT DANU,BENGALURU FC,43,1448,2,2,19,18,374,9,721,63,38,3,0,12,INDIA,54.0
SIVASAKTHI NARAYANAN,BENGALURU FC,42,1690,8,3,32,21,313,17,642,44,23,1,0,5,INDIA,56.0
SUNIL CHHETRI,BENGALURU FC,151,11363,60,11,287,129,3241,152,4899,327,144,18,0,250,INDIA,67.0
AAREN D'SILVA,HYDERABAD FC,29,579,1,1,17,6,180,4,315,21,12,2,0,31,INDIA,53.0
AMON LEPCHA,HYDERABAD FC,2,26,0,0,1,0,2,0,5,1,1,0,0,0,INDIA,49.0
AMOSA LALNUNDANGA,HYDERABAD FC,1,1,0,0,0,1,1,0,2,0,0,0,0,0,INDIA,48.0
ARON VANLALRINCHHANA,HYDERABAD FC,6,69,0,0,2,0,35,2,57,3,3,0,0,0,INDIA,50.0
JOSEPH SUNNY,HYDERABAD FC,6,365,0,0,4,2,95,0,139,10,4,1,0,5,INDIA,50.0
KOMAL THATAL,JAMSHEDPUR FC,29,1154,2,0,16,5,198,7,448,37,23,1,0,2,INDIA,53.0
BIPIN SINGH THOUNAJAM,MUMBAI CITY FC,97,7003,24,11,113,93,1811,63,3027,113,49,3,0,30,INDIA,61.0
MANVIR SINGH,NORTHEAST UNITED FC,11,296,0,0,3,5,65,0,100,7,2,0,0,9,INDIA,51.0
REDEEM TLANG,NORTHEAST UNITED FC,86,4652,9,4,57,54,1394,25,2496,170,69,16,1,36,INDIA,56.0
JERRY MAWIHMINGTHANGA,ODISHA FC,114,8234,13,20,100,107,2060,41,3748,244,152,10,0,36,INDIA,58.0
DANIEL LALHLIMPUIA,PUNJAB FC,60,2468,5,4,43,33,606,21,998,68,41,0,0,10,INDIA,53.0
