PLAYER NAME,TEAM NAME,MATCHES PLAYED,MINUTES PLAYED,GOALS,ASSISTS,SHOTS,CHANCE CREATED,PASSES,SHOTS ON TARGET,TOUCHES,FOULS,FOULS EARNED,YELLOW CARD,RED CARD,AERIAL DUEL WON,COUNTRY,Overall,Potential
DIMITROS PETRATOS,MOHUN BAGAN SUPER GIANT,35,3006,18,8,85,86,939,42,1505,38,26,1,0,6,AUSTRALIA,,
JASON STEVEN CUMMINGS,MOHUN BAGAN SUPER GIANT,12,793,6,2,18,15,195,11,292,10,5,0,0,8,AUSTRALIA,,
ARMANDO SADIKU,MOHUN BAGAN SUPER GIANT,13,645,4,1,24,6,165,10,269,18,8,4,0,8,ALBANIA,,
MANVIR SINGH,MOHUN BAGAN SUPER GIANT,122,6815,19,11,130,101,2028,65,3328,136,59,4,0,184,INDIA,62,62
LISTON COLACO,MOHUN BAGAN SUPER GIANT,87,5371,15,15,156,75,1573,81,3054,202,148,4,1,23,INDIA,61,64
KIYAN NASSIRI GIRI,MOHUN BAGAN SUPER GIANT,40,1128,4,1,16,23,300,11,574,38,21,3,0,9,INDIA,,
MOHAMMAD FARDIN ALI,MOHUN BAGAN SUPER GIANT,10,107,0,0,2,1,15,1,40,5,3,0,0,1,INDIA,,
MANVIR SINGH,MOHUN BAGAN SUPER GIANT,122,6815,19,11,130,101,2028,65,3328,136,59,4,0,184,INDIA,,
SUHAIL AHMAD BHAT,MOHUN BAGAN SUPER GIANT,7,70,0,0,3,1,34,2,62,5,3,0,0,1,INDIA,,
CLEITON AUGUSTO OLIVEIRA SILVA,EAST BENGAL FC,73,6238,35,9,143,113,1937,70,3055,170,96,14,0,87,BRAZIL,,
FELICIO ANANDO BROWN FORBES,EAST BENGAL FC,6,347,1,0,3,1,69,1,126,20,13,2,0,18,,,
NANDHAKUMAR SEKAR,EAST BENGAL FC,99,7102,15,14,93,82,1876,44,3347,122,66,6,1,33,INDIA,57,57
MAHESH NAOREM SINGH,EAST BENGAL FC,53,4027,6,9,35,58,1273,18,2087,120,71,8,0,24,INDIA,,
SUHAIR VADAKKEPEEDIKA,EAST BENGAL FC,64,4333,8,6,78,60,1102,31,1979,193,68,11,0,59,INDIA,58,58
SAYAN BANERJEE,EAST BENGAL FC,4,156,0,0,1,0,27,1,62,2,1,1,0,2,INDIA,,
VISHNU PUTHIYA VALAPPILL,EAST BENGAL FC,14,530,1,1,7,4,146,4,295,16,10,1,0,20,INDIA,50,60
CARLOS MARTÍNEZ RODRÍGUEZ,FC GOA,16,1005,5,2,37,25,309,19,492,25,16,0,0,46,SPAIN,,
DEVENDRA DHAKU MURGAOKAR,FC GOA,46,1723,3,3,29,17,364,13,680,57,38,1,0,57,INDIA,,
CONNOR JON SHIELDS,CHENNAIYIN FC,15,1092,3,1,12,21,251,3,481,23,12,2,0,20,SCOTLAND,,
IRFAN YADWAD,CHENNAIYIN FC,12,251,0,0,10,3,60,0,117,13,7,4,0,5,INDIA,49,57
JORDAN DAVID MURRAY,CHENNAIYIN FC,51,2708,15,3,90,47,719,50,1187,81,46,3,0,157,AUSTRALIA,,
RAHIM ALI,CHENNAIYIN FC,66,3708,8,4,61,40,1067,23,1795,137,62,11,0,67,INDIA,58,64
VINCY BARRETTO,CHENNAIYIN FC,48,1927,6,2,44,21,451,17,890,70,47,4,0,20,INDIA,55,61
